"name","author","narrator","releasedate","language","hours","mins","total_time_mins","price","avg_rating","max_rating","nr_of_ratings"
Ghoulia and the Doomed Manor,Barbara Cantini,Jordan Killam,"2021-09-07",English,0,28,28,234.00,,5,"0"
The Crook Who Crossed the Golden Gate Bridge,"Steve Brezenoff, Chris Canga",Anonymous,"2022-03-16",English,0,45,45,176.00,,5,"0"
Maia și alex. Detectivi de succes. Misterul de la circ [Maia and Alex. Successful Detectives. The Mystery of the Circus],"Martin Widmark, Helena Willis",Alina Anea,"2021-07-13",Romanian,0,36,36,142.00,,5,"0"
The Bugalugs Bum Thief,Tim Winton,Shane Jacobson,"2022-03-23",English,0,16,16,398.00,,5,"0"
Il mistero del mostro marino,"Mattel, Raffaella Casati",Emanuela Pacotto,"2022-03-22",Italian,0,27,27,75.00,,5,"0"
Ottoline and the Yellow Cat,Chris Riddell,Ronni Ancona,"2015-02-26",English,0,47,47,323.00,,5,"0"
Barking Up the Wrong Tree,Philip Ardagh,Jilly Bond,"2018-03-12",English,0,49,49,664.00,,5,"0"
A to Z Mysteries: The Panda Puzzle,Ron Roy,David Pittu,"2010-12-14",English,1,0,60,402.00,,5,"0"
Clem the Detective Dog,Jake Warner,uncredited,"2008-08-21",English,0,56,56,304.00,,5,"0"
Il fantasma del metrò,Geronimo Stilton,Geronimo Stilton,"2018-01-31",Italian,0,41,41,190.00,,5,"0"
A contrarreloj,L. C. Lillo,Pablo Canovas Lozano,"2021-06-07",Spanish,0,59,59,115.00,,5,"0"
Mr. Lemoncello and the Titanium Ticket,Chris Grabenstein,Kirby Heyborne,"2020-08-25",English,6,0,360,904.00,,5,"0"
Die Dame mit den schwarzlackierten Fingernägeln und andere Geschichten,olfgang Ecke,Hans Jürgen Diedrich,"2021-04-30",German,0,46,46,166.00,,5,"0"
Der General der Zwerge und andere Geschichten,olfgang Ecke,Hans Jürgen Diedrich,"2021-05-07",German,0,55,55,166.00,,5,"0"
Buscapistas: El Caso Del Trofeo desaparecido (Narración en Castellano),"Teresa Blanch, JoséÁngel Labari Ilundain","Eva Coll, Lola Sans, Sarah Muñiz","2021-04-15",Spanish,0,45,45,268.00,,5,"0"
"96 Miles",J. L. Esplin,Robbie Daymond,"2020-02-11",English,8,0,480,134.00,,5,"0"
Das Filmgeheimnis,Martin Widmark,Jens Wawrczeck,"2021-02-10",German,0,55,55,233.00,,5,"0"
Das Goldgeheimnis,Martin Widmark,Jens Wawrczeck,"2021-02-10",German,0,46,46,233.00,,5,"0"
The Hint in the Peeping Pupil,Ken Bowser,Keyla McClure,"2021-02-12",English,0,28,28,164.00,,5,"0"
The Mighty Lever Endeavor,Ken Bowser,Keyla McClure,"2021-02-11",English,0,26,26,164.00,,5,"0"
The Microscopic Snot Debacle,Ken Bowser,Keyla McClure,"2021-02-12",English,0,25,25,164.00,,5,"0"
A Spoonful of Murder,Robin Stevens,Katie Leung,"2018-02-08",English,7,0,420,683.00,"5",5,"1"
The Case of the Haunted Scarecrow,James Preller,Christopher Gebauer,"2020-01-30",English,0,53,53,233.00,,5,"0"
The Case of the Hat Burglar,James Preller,Christopher Gebauer,"2020-01-30",English,0,55,55,233.00,,5,"0"
The Case of the Bicycle Bandit,James Preller,Christopher Gebauer,"2020-01-22",English,0,49,49,233.00,,5,"0"
The Case of the Glow-in-the-Dark Ghost,James Preller,Christopher Gebauer,"2020-01-22",English,0,45,45,99.00,,5,"0"
A to Z Mysteries: The Yellow Yacht,Ron Roy,David Pittu,"2011-03-08",English,0,57,57,402.00,"5",5,"1"
A to Z Mysteries: The Absent Author,Ron Roy,David Pittu,"2007-10-18",English,0,55,55,402.00,"5",5,"2"
A to Z Mysteries: The Bald Bandit,Ron Roy,David Pittu,"2007-10-18",English,0,42,42,402.00,"5",5,"2"
A to Z Mysteries: The Jaguar's Jewel,Ron Roy,David Pittu,"2019-08-12",English,0,55,55,402.00,"5",5,"2"
The Chicken Squad: The First Misadventure,Doreen Cronin,"Adam Grupper, Michelle O. Medlin","2014-07-03",English,0,34,34,201.00,"3",5,"1"
A to Z Mysteries,Ron Roy,David Pittu,"2008-02-12",English,0,48,48,402.00,"4.5",5,"3"
A to Z Mysteries: The Missing Mummy,Ron Roy,David Pittu,"2010-09-14",English,0,54,54,402.00,,5,"0"
A to Z Mysteries,Ron Roy,David Pittu,"2008-02-12",English,0,55,55,402.00,,5,"0"
Gimme Shelter,Doreen Cronin,"Michelle O. Medlin, Adam Grupper","2017-12-12",English,0,53,53,233.00,,5,"0"
"Dark Shadows: Yes, Another Misadventure",Doreen Cronin,"Michele O. Medlin, Adam Grupper","2017-03-14",English,0,49,49,187.00,,5,"0"
The Puppy Problem,Carolyn Keene,ncy Wu,"2010-04-07",English,0,58,58,305.00,,5,"0"
A to Z Mysteries: The X'ed-Out- X-Ray,Ron Roy,uncredited,"2011-03-08",English,0,59,59,402.00,"5",5,"1"
A to Z Mysteries: The Orange Outlaw,Ron Roy,David Pittu,"2010-12-14",English,0,52,52,402.00,"5",5,"1"
A to Z Mysteries,Ron Roy,David Pittu,"2008-02-12",English,0,47,47,402.00,"1",5,"1"
A to Z Mysteries: The Canary Caper,Ron Roy,David Pittu,"2008-01-08",English,0,53,53,402.00,"5",5,"1"
Murder at Midnight,Avi,Jeff Woodman,"2010-01-01",English,5,0,300,609.00,,5,"0"
Junie B. Jones Is Not a Crook,Barbara Park,Lana Quintal,"2007-01-18",English,0,36,36,301.00,,5,"0"
The Drained Brains Caper,Trina Robbins,Book Buddy Digital Media,"2017-06-28",English,0,32,32,469.00,,5,"0"
The Big Flush,Trina Robbins,Book Buddy Digital Media,"2017-07-19",English,0,30,30,469.00,,5,"0"
Night of the Living Dogs,Trina Robbins,Book Buddy Digital Media,"2017-06-27",English,0,24,24,469.00,,5,"0"
The Bark in Space,Trina Robbins,Book Buddy Digital Media,"2017-06-27",English,0,24,24,469.00,,5,"0"
A Midterm Night's Scheme,Trina Robbins,Book Buddy Digital Media,"2017-06-27",English,0,24,24,469.00,,5,"0"
The Nighttime Cabin Thief,Lynda Beauregard,Intuitive,"2017-06-23",English,0,19,19,164.00,,5,"0"
The Ancient Formula,Melinda Thielbar,Book Buddy Digital Media,"2017-06-23",English,0,19,19,164.00,,5,"0"
The Missing Cuckoo Clock,Lynda Beauregard,Book Buddy Digital Media,"2017-06-22",English,0,18,18,164.00,,5,"0"
The Yucky Duck Rescue,Lynda Beauregard,Book Buddy Digital Media,"2017-06-21",English,0,15,15,164.00,,5,"0"
The Runaway Puppy,Lydia Barriman,Book Buddy Digital Media,"2017-06-13",English,0,16,16,164.00,,5,"0"
Geheimnisvolle Botschaften,Harry Voß,Bodo Primus,"2020-10-23",German,0,37,37,99.00,,5,"0"
Banküberfall im Advent,"Harry Voß, Samuel Wolf","Bodo Primus, Thomas Friebe","2020-10-22",German,0,41,41,99.00,,5,"0"
Wombat & Jones: The Great Banana Mystery,Arran Francis,Alison Campbell,"2020-10-30",English,0,52,52,59.00,,5,"0"
Buscapistas: El Caso De La Isla De Los Caimanes (Narración en Castellano) [Hustlers: The Case of Cayman Island],"Teresa Blanch, JoséÁngel Labari Ilundain","Eva Coll, Lola Sans, Sarah Muñiz","2020-09-30",Spanish,0,35,35,268.00,,5,"0"
Buscapistas: El Caso Del Robo De La Mona Louisa (Narración en Castellano) [Seekers: The Case of the Theft of the Mona Lisa],"Teresa Blanch, JoséÁngel Labari Ilundain","Eva Coll, Lola Sans, Sarah Muñiz","2020-09-29",Spanish,0,38,38,268.00,,5,"0"
Buscapistas: El Caso Del Tesoro Olvidado (Narración en Castellano) [Seekers: The Case of the Forgotten Treasure],"Teresa Blanch, JoséÁngel Labari Ilundain","Eva Coll, Lola Sans, Sarah Muñiz","2020-09-29",Spanish,0,49,49,268.00,,5,"0"
El acertijo del papiro real de Turín (Narración en Castellano) [The Riddle of the Royal Papyrus of Turin],Maria Mañeru,Alexia Lorrio,"2020-08-13",Spanish,1,0,60,268.00,,5,"0"
Es 'spuckt' im Leuchtturm,Mike Brandt,Mike Brandt,"2020-09-29",German,0,25,25,99.00,,5,"0"
Double-O Dodo,Tom Angleberger,Mark Turetsky,"2020-03-10",English,0,46,46,233.00,,5,"0"
"2 Detektive: James K. und Billy B.",Mike Brandt,Mike Brandt,"2020-09-04",German,0,48,48,166.00,,5,"0"
Your Muscular System,Rebecca L. Johnson,Intuitive,"2017-06-21",English,0,15,15,164.00,,5,"0"
El enigma de la Esfinge (Narración en Castellano) [The Sphinx's Enigma],Maria Mañeru,Alexia Lorrio,"2020-08-17",Spanish,0,56,56,268.00,,5,"0"
Karo Karotte und der rätselhafte Dieb,Christian Bieniek,ina Danzeisen,"2020-07-09",German,0,51,51,166.00,,5,"0"
Geheimnisvolle Ostereier,Stefan Bosselmann,Stefan Bosselmann,"2020-05-07",German,0,50,50,132.00,,5,"0"
Un Misterio para Susana,Eva Rodríguez,"Carlos Zertuche, Ignacio Pérez","2020-05-06",Spanish,0,11,11,132.00,,5,"0"
Der Jäger der goldenen Eier,Harry Voß,"Bodo Primus, Oliver Rohrbeck","2020-04-23",German,0,36,36,99.00,,5,"0"
Chasing Augustus,Kimberly Newton Fusco,Karissa Vacker,"2019-12-24",English,6,0,360,586.00,,5,"0"
Stranger in the Snow,Lynne Benton,"Marie-Thérèse Bougard, Oliver Johnstone","2020-04-21",English,0,20,20,112.00,,5,"0"
Juwelendieb in der Osternacht,"Harry Voß, Michael Jahnke",Bodo Primus,"2020-04-23",German,0,42,42,99.00,,5,"0"
Kwartet Detektywistyczny i tajemnica psiej kupy,Anne-Marie Donslund,Agata Darnowska,"2020-03-13",Polish,0,39,39,32.00,,5,"0"
A Escola da Vida,Pedro Bandeira,Pedro Bandeira,"2020-01-03",Portuguese,0,13,13,65.00,,5,"0"
Рассудительная женщина [Sensible Woman],Uzbek Folk Tales,Елена Бурова,"2019-10-28",Russian,0,11,11,47.00,,5,"0"
Ghost Train,Linda Anderson,Tyler Thompson,"2019-10-04",English,0,17,17,46.00,,5,"0"
The Bug Files of the Best Pest Detectives,Kristin O'Donnell Tubb,"Kristen Scribner, Dan Schoeneberg, David Armstrong","2019-10-04",English,0,15,15,46.00,,5,"0"
Różowe babeczki,Joanna Jagiełło,Magdalena Zając-Zawadzka,"2019-09-05",Polish,0,20,20,32.00,,5,"0"
Arthur et Papilou,Souffleurde Rêves,Souffleurde Rêves,"2019-04-15",French,0,41,41,187.00,,5,"0"
William und das Spukhaus,Marita Sydow Hamann,Marita Sydow Hamann,"2019-03-27",German,0,20,20,99.00,,5,"0"
Krishna’s Conquests,Shobha Viswanath,Girish Karnad,"2020-03-31",English,0,23,23,75.00,"4.5",5,"9"
Birth of Krishna,Shobha Viswanath,Girish Karnad,"2020-03-31",English,0,19,19,75.00,"4.5",5,"11"
Bhasmasura,Shobha Viswanath,Girish Karnad,"2020-03-31",English,0,21,21,75.00,"4.5",5,"4"
Cam Jansen: The Mystery of the Television Dog,David A. Adler,Alyson Silverman,"2019-01-08",English,0,36,36,402.00,,5,"0"
Cam Jansen: The Mystery of the Circus Clown,David A. Adler,Alyson Silverman,"2019-01-08",English,0,38,38,402.00,,5,"0"
God's Very Good Idea,"Trillia Newbell, Catalina Echeverri",Zakiya Young,"2020-10-17",English,0,9,9,585.00,,5,"0"
The Bugville Critters Have a Bad Day,Robert Stanek,Ginny Westcott,"2009-05-07",English,0,20,20,187.00,,5,"0"
Keeker and the Not So Sleepy Hollow,Hadley Higginson,Jeanne Fishman,"2009-04-24",English,0,28,28,166.00,,5,"0"
Krishna (Hindi Edition),Maple Press,Chaitali Gupta,"2021-09-23",Hindi,0,4,4,139.00,"4.5",5,"2"
The Mahabharata (Hindi Edition),Maple Press,Chaitali Gupta,"2021-09-23",Hindi,0,4,4,139.00,"1",5,"1"
La Bible. Ancien Testament de la Comtesse de Ségur,Comtessede Ségur,Chloé Berthier,"2022-03-08",French,1,0,60,376.00,,5,"0"
Jesu Geburt bis zur Hochzeit in Kana,N. N.,Barbara Sewien,"2019-08-15",German,0,53,53,166.00,,5,"0"
The Blessing of You,"Mark Batterson, Summer Batterson Dailey","Mark Batterson, Summer Batterson Dailey","2021-10-26",English,0,8,8,251.00,,5,"0"
"Bible Stories, Volume 2",Mama Doni,"Mama Doni, Eric Lindberg","2015-09-10",English,0,52,52,469.00,"5",5,"1"
Vénérable Pie XII raconté aux enfants,Marc Geoffroy,Marc Brunet,"2021-05-06",French,0,55,55,376.00,,5,"0"
Der Auszug aus Ägypten,N. N.,Barbara Sewien,"2019-08-27",German,0,51,51,166.00,,5,"0"
Saint Ignace de Loyola raconté aux enfants,Marc Geoffroy,Sylvain Lemarié,"2021-05-10",French,0,50,50,376.00,,5,"0"
Saint Jean-Baptiste raconté aux enfants,Marc Geoffroy,Philippe Ariotti,"2021-05-06",French,0,52,52,376.00,,5,"0"
The Other Wise Man,Henryvan Dyke,"Kailey Bell, Todd Busteed","2008-07-08",English,0,58,58,280.00,,5,"0"
Iran,Madeline Donaldson,Intuitive,"2017-06-23",English,0,19,19,164.00,,5,"0"
Italy,Madeline Donaldson,Intuitive,"2017-06-21",English,0,15,15,164.00,,5,"0"
Chile,Jennifer A. Miller,Intuitive,"2017-06-21",English,0,15,15,164.00,,5,"0"
Cuba,Anna Cavallo,Intuitive,"2017-06-21",English,0,13,13,164.00,,5,"0"
Norway,Deborah Kopka,Intuitive,"2017-06-21",English,0,14,14,164.00,,5,"0"
Secondo Minot,Massimo D'Onofrio,Massimo D'Onofrio,"2019-02-10",Italian,0,48,48,190.00,,5,"0"
The Talents,Allan H. Kelly,Frances H. Kelley,"2008-08-11",English,0,13,13,421.00,,5,"0"
David and Goliath,Allan H. Kelly,Frances H. Kelley,"2008-08-14",English,0,16,16,421.00,,5,"0"
Roots of the Messiah,Kidz Rock,"Kailey Bell, Todd Busteed","2009-08-15",English,0,58,58,234.00,,5,"0"
Samson and Delilah,Darcy Weinbeck,David Du Chene,"2008-08-13",English,0,11,11,116.00,,5,"0"
The Lesson of Jonah,Cheryl Rogers,Cheryl Rogers,"2013-08-28",English,0,27,27,117.00,,5,"0"
Joseph,David Angus,Kerry Shale,"2013-12-04",English,0,21,21,32.00,,5,"0"
Samson & Delilah,David Angus,Kerry Shale,"2013-12-04",English,0,8,8,32.00,,5,"0"
Cain & Abel,David Angus,Kerry Shale,"2013-12-04",English,0,4,4,32.00,,5,"0"
Jonah & the Whale,David Angus,Kerry Shale,"2013-12-04",English,0,10,10,32.00,,5,"0"
Little Bible Stories,Dreamscape Media,Elizabeth Cottle,"2016-09-30",English,0,19,19,234.00,,5,"0"
The Angry Dragon,Michael Gordon,Teresa Booth,"2018-07-10",English,0,4,4,132.00,,5,"0"
Ave María [Spanish Edition],Clara Azcué-Pérz Gil,"Minerva Predes Rivera, Ana Cecilia Terrazas Valdés, José Icthé Peralta","2018-05-16",Spanish,0,11,11,1055.00,,5,"0"
"Die ""Gott hat dich lieb""-Bibel zum Anhören 3",Sally Lloyd-Jones,Philipp Schepmann,"2018-06-11",German,0,53,53,200.00,,5,"0"
Your Skeletal System,Caroline Arnold,Intuitive,"2017-06-21",English,0,14,14,164.00,,5,"0"
"Die ""Gott hat dich lieb""-Bibel zum Anhören 4",Sally Lloyd-Jones,Philipp Schepmann,"2018-06-11",German,0,58,58,200.00,,5,"0"
Moses,David Angus,Kerry Shale,"2013-12-04",English,0,36,36,65.00,,5,"0"
Adam & Eve,David Angus,Kerry Shale,"2013-12-04",English,0,9,9,32.00,,5,"0"
David & Goliath,David Angus,Kerry Shale,"2013-12-04",English,0,6,6,32.00,,5,"0"
Noah's Ark,David Angus,Kerry Shale,"2013-12-04",English,0,13,13,32.00,,5,"0"
My Favorite Bible Stories: My First Old Testament Bible Stories,"Kim Mitzo Thompson, Karen Mitzo Hilderbrand, Twin Sisters",Twin Sisters,"2012-08-13",English,0,27,27,93.00,,5,"0"
Nicholas: God's Courageous Gift Giver,The Voiceofthe Martyrs,Lance Smith,"2020-12-12",English,0,15,15,351.00,,5,"0"
Paul: God's Courageous Apostle,The Voiceofthe Martyrs,Lance Smith,"2020-12-12",English,0,21,21,351.00,,5,"0"
Valentine: God's Courageous Evangelist,The Voiceofthe Martyrs,Lance Smith,"2020-12-12",English,0,15,15,351.00,,5,"0"
Wild Child,"Dara McAnulty, Barry Falls",Dara McAnulty,"2021-07-08",English,0,59,59,323.00,,5,"0"
Chameleon,Bold Kids,Michael Lakeman,"2021-06-30",English,0,10,10,116.00,,5,"0"
Light Makes Colors,Jennifer Boothroyd,Intuitive,"2020-01-30",English,0,1,1,164.00,,5,"0"
The Construction Alphabet Book,Jerry Pallotta,Lauren McCullough,"2019-11-29",English,0,11,11,82.00,,5,"0"
The Energy We See,Jennifer Boothroyd,Intuitive,"2017-05-19",English,0,4,4,164.00,,5,"0"
"Butterfly, Flea, Beetle, and Bee",Brian P. Cleary,Intuitive,"2017-05-12",English,0,3,3,164.00,,5,"0"
Hibernación [Hibernation],Robin Nelson,Intuitive,"2017-05-12",Spanish,0,3,3,211.00,,5,"0"
How Big? How Heavy? How Dense?,Jennifer Boothroyd,Intuitive,"2017-05-16",English,0,4,4,164.00,,5,"0"
Finding Out About Hydropower,Matt Doeden,Intuitive,"2017-06-19",English,0,11,11,164.00,,5,"0"
Experiment with Parts of a Plant,Nadia Higgins,Intuitive,"2017-06-14",English,0,8,8,164.00,,5,"0"
Experiment with Pollination,Nadia Higgins,Intuitive,"2017-06-14",English,0,6,6,164.00,,5,"0"
Investigating Plant Life Cycles,L. J. Amstutz,Intuitive,"2020-02-03",English,0,17,17,164.00,,5,"0"
Discover Nanotechnology,Lisa J. Amstutz,Intuitive,"2020-01-14",English,0,14,14,164.00,"1",5,"1"
Here Come the Humpbacks!,April Pulley Sayre,Lauren McCullough,"2019-11-26",English,0,17,17,82.00,,5,"0"
"Hey There, Stink Bug!",Leslie Bulion,Tamara Ryan,"2019-11-26",English,0,19,19,82.00,,5,"0"
Volcano Rising,Elizabeth Rusch,Adam Weber,"2019-11-27",English,0,12,12,82.00,,5,"0"
Flying Deep,Michelle Cusolito,Tamara Ryan,"2019-11-21",English,0,8,8,63.00,,5,"0"
Feathers,Melissa Stewart,Lauren McCullough,"2019-11-21",English,0,9,9,63.00,,5,"0"
¡El invierno es divertido! [Winter Is Fun!],alt K. Moon,Intuitive,"2019-02-01",Spanish,0,2,2,211.00,,5,"0"
"101 Amazing Facts About Volcanos",Jack Goldstein,Charles King,"2018-11-27",English,0,26,26,303.00,,5,"0"
A Trip Through Our Solar System,Autumn Leigh,Emilio Delgado,"2009-04-24",English,0,5,5,99.00,,5,"0"
Animal Partners,Scotti Cohn,Rachel Hilchey,"2015-11-10",English,0,4,4,23.00,,5,"0"
How Flowers Grow,Carrie Stuart,Sonia Manzano,"2009-04-24",English,0,2,2,65.00,,5,"0"
The Summer Triangle,Highlightsfor Children,Highlightsfor Children,"2018-08-24",English,0,5,5,46.00,,5,"0"
Stars That Aren't Round,Ken Croswell Ph D,Highlightsfor Children,"2018-08-24",English,0,6,6,46.00,,5,"0"
Hot Lava Under My Feet,Chris Dietel,Highlightsfor Children,"2018-08-24",English,0,1,1,46.00,,5,"0"
A New Spin on a Space Horse,Ken Croswell Ph D,Highlightsfor Children,"2018-08-24",English,0,4,4,46.00,,5,"0"
Hubble Opens Our Eyes,Highlightsfor Children,Highlightsfor Children,"2018-08-23",English,0,2,2,46.00,,5,"0"
Journey to Alpha Centauri,Ken Croswell Ph D,Highlightsfor Children,"2018-08-23",English,0,4,4,46.00,,5,"0"
Voyage to Pluto,Ken Croswell Ph D,Highlightsfor Children,"2018-08-23",English,0,7,7,46.00,,5,"0"
Helper Robots,Nancy Furstinger,Intuitive,"2017-06-06",English,0,5,5,164.00,,5,"0"
Über die Magie der Zahlen / Vokabeln pauken im Schlaf,"Albrecht Beutelspacher, Manfred Spitzer","Albrecht Beutelspacher, Manfred Spitzer","2007-05-16",German,0,54,54,166.00,,5,"0"
'Twas the Day Before Zoo Day,Catherine Ipcizade,Donna German,"2015-11-13",English,0,3,3,23.00,,5,"0"
The Printing Press,Minds,Todd Mac Donald,"2010-03-08",English,0,5,5,33.00,,5,"0"
Stargazer's Alphabet,John Farrell,Maria Cabezas,"2013-10-22",English,0,23,23,305.00,,5,"0"
The Rainforest Grew All Around,Susan K. Mitchell,Donna German,"2015-11-13",English,0,4,4,23.00,,5,"0"
Histoire du caoutchouc - conte pour enfants,Paul Tripp,Robert Manuel,"2013-02-20",French,0,17,17,184.00,,5,"0"
Photosynthesis,Minds,Leah Vandenburg,"2009-10-20",English,0,5,5,33.00,,5,"0"
Volcanoes,Minds,Todd Mac Donald,"2009-12-02",English,0,5,5,33.00,,5,"0"
Hurricanes!,Gail Gibbons,Chris Lutkin,"2016-07-28",English,0,14,14,234.00,,5,"0"
"101 Amazing Facts About Trees",Jack Goldstein,Charles King,"2018-01-25",English,0,35,35,152.00,,5,"0"
The Reasons for Seasons,Gail Gibbons,Chris Lutkin,"2016-02-16",English,0,11,11,234.00,,5,"0"
Maggie: Alaska's Last Elephant,Jennifer Keats Curtis,Lee German,"2018-01-23",English,0,7,7,23.00,,5,"0"
The Lizard Lady,"Jennifer Keats Curtis, Nicole F. Angeli",Lamont Council,"2018-01-23",English,0,5,5,23.00,,5,"0"
The Moon Book,Gail Gibbons,Chris Lutkin,"2015-11-24",English,0,19,19,234.00,,5,"0"
The Magic School Bus: In the Time of Dinosaurs,"Joanna Cole, Bruce Degen","Polly Adams, Cassandra Morris","2011-10-01",English,0,31,31,281.00,,5,"0"
De hæslige slynglers klub,Ole Lund Kirkegaard,Martin Brygmann,"2022-01-12",Danish,0,15,15,65.00,,5,"0"
Valle Vampyr äter mat,Amanda Thörn,Astrid Drettner,"2022-01-11",Swedish,0,9,9,32.00,,5,"0"
La perla mágica,Alejandro Khan,Marta Almazán,"2022-01-11",Spanish,0,32,32,76.00,,5,"0"
La caja mágica,Alejandro Khan,Marta Almazán,"2022-01-11",Spanish,0,31,31,76.00,,5,"0"
Los ojos de Alisa,Alejandro Khan,Marta Almazán,"2022-01-11",Spanish,0,42,42,76.00,,5,"0"
Smurfarna - 3 minuter till godnatt,"Peyo, Lisa Fransson",Ove Ström,"2021-12-20",Swedish,0,33,33,32.00,,5,"0"
The Once and Future King,T. H. White,ville Jason,"2010-12-26",English,33,0,1980,1641.00,"4.5",5,"3"
Gevaarlijke Vikingen,"Peter Gotthardt, Tomasz Frajndt",Chava Voorin't Holt,"2021-11-10",Dutch,0,36,36,99.00,,5,"0"
Verbrand de Heks!,"Peter Gotthardt, Tomasz Frajndt",Chava Voorin't Holt,"2021-11-10",Dutch,0,38,38,99.00,,5,"0"
Eenhoorn Tranen,"Peter Gotthardt, Tomasz Frajndt",Chava Voorin't Holt,"2021-11-10",Dutch,0,40,40,99.00,,5,"0"
Taneli Kaneli,Tittamari Marttinen,Ari-Matti Hedman,"2022-01-19",Finnish,0,37,37,32.00,,5,"0"
Taneli Kanelin urotyö,Tittamari Marttinen,Ari-Matti Hedman,"2022-01-19",Finnish,0,35,35,32.00,,5,"0"
Willy visita el Planeta Cuadrado,"Jeffrey Archer, Jesús Cañadas-translator",Emilio Bianchi,"2022-01-19",Spanish,0,34,34,38.00,,5,"0"
Gummi-Tarzan,Ole Lund Kirkegaard,Peter Frödin,"2022-01-12",Danish,0,51,51,166.00,,5,"0"
Ariel - Den eventyrlystne prinsesse,"Disney, Tine S. Norbøll",Annevig Schelde Ebbe,"2021-10-29",Danish,0,7,7,133.00,,5,"0"
Theodora Hendrix and the Curious Case of the Cursed Beetle,Jordan Kopy,Chris Devon,"2021-10-07",English,4,0,240,569.00,,5,"0"
Zauberhafte Lieder für kleine Hexen,"Bettina Göschl, Ulrich Maske","Bettina Göschl, Ulrich Maske, Eckart Kahlhofer","2021-09-03",German,0,51,51,300.00,,5,"0"
Barbie Dreamtopia (Italian edition),Mattel,Emanuela Pacotto,"2021-08-05",Italian,0,20,20,75.00,,5,"0"
Barbie Dreamtopia [French Edition],Aurélie Dupont,Katia Filipovic,"2021-08-11",French,0,17,17,263.00,,5,"0"
Das große Herz der kleinen Elfe,Matt Haig,Carmen-Maja Antoni,"2021-09-23",German,0,25,25,233.00,,5,"0"
Das kleine Ich bin Ich und Das kleine Hokuspokus,Mira Lobe,Regina Fritsch,"2021-01-21",German,0,21,21,233.00,,5,"0"
Ricky Ricotta's Mighty Robot vs. the Unpleasant Penguins from Pluto,Dav Pilkey,Oliver Wyman,"2021-10-05",English,0,35,35,445.00,,5,"0"
Robo-Sauce,Adam Rubin,Adam Rubin,"2021-10-26",English,0,6,6,251.00,,5,"0"
Ruby Fairygale und die Insel der Magie,Kira Gembri,Marlene Jablonski,"2022-03-16",German,0,52,52,233.00,,5,"0"
Die Prinzessin in der Seifenblase,Marie Wollatz,Juliane Wolf,"2022-02-21",German,0,12,12,32.00,,5,"0"
Barbie Dreamtopia - Haavemaa,"Amanda Puerto-Lichtenberg-translator, Mattel",Anu Vilhunen,"2022-02-17",Finnish,0,21,21,32.00,,5,"0"
El burrito tragacuentos,Luisa Villar Liébana,Crespo,"2022-02-21",Spanish,0,9,9,38.00,,5,"0"
"The Princess in Black, Books 4-6","Shannon Hale, Dean Hale",Julia Whelan,"2018-09-25",English,0,55,55,754.00,,5,"0"
Ricky Ricotta's Mighty Robot vs. the Stupid Stinkbugs from Saturn,Dav Pilkey,Oliver Wyman,"2021-07-21",English,0,29,29,258.00,,5,"0"
Ricky Ricotta's Mighty Robot vs. the Jurassic Jackrabbits from Jupiter,Dav Pilkey,Oliver Wyman,"2021-07-21",English,0,27,27,164.00,,5,"0"
Vampires and Veggies,"Blake Hoena, Dave Bardin",Anonymous,"2022-03-24",English,0,7,7,93.00,,5,"0"
The Worst Witch Strikes Again,Jill Murphy,Gemma Arterton,"2014-09-04",English,0,54,54,410.00,"4.5",5,"2"
The Giraffe and the Pelly and Me,Roald Dahl,Hugh Laurie,"2014-09-11",English,0,45,45,615.00,"5",5,"9"
White-Tailed Deer,G. G. Lake,anonymous,"2022-03-01",English,0,3,3,82.00,,5,"0"
Outrunning the Nazis,"Matt Chandler, Douglas A. Sirois, Pericles Junior",anonymous,"2022-03-01",English,0,22,22,93.00,,5,"0"
Thunder Rolling Down the Mountain,"Rusty Zimmerman, Dr. Troy Johnson, Agnieszka Biskup",anonymous,"2022-02-28",English,0,15,15,93.00,,5,"0"
"John ""Danny"" Olivas",Christine Juarez,anonymous,"2022-03-01",English,0,2,2,82.00,,5,"0"
Thomas Edison,Mary Boone,anonymous,"2022-03-01",English,0,7,7,82.00,,5,"0"
Andrew Jackson,"Nel Yomtov, Richard Bell",anonymous,"2022-03-01",English,0,23,23,93.00,,5,"0"
The Ant and the Grasshopper,"Mark White, Sara Rojo Pérez",anonymous,"2022-03-29",English,0,3,3,82.00,,5,"0"
The Goose That Laid the Golden Egg,"Mark White, Sara Rojo Pérez",anonymous,"2022-03-28",English,0,3,3,82.00,,5,"0"
Johnny Slimeseed and the Freaky Forest,Stephanie True Peters,anonymous,"2022-03-28",English,0,12,12,82.00,,5,"0"
A Short History of Halloween,Sally Lee,anonymous,"2022-03-02",English,0,3,3,82.00,,5,"0"
Tennessee,Bridget Parker,anonymous,"2022-03-02",English,0,12,12,93.00,,5,"0"
Oklahoma,"Bridget Parker, Tyler Maine",anonymous,"2022-03-02",English,0,12,12,93.00,,5,"0"
True Stories of World War II,"Terry Collins, Patrick Kinsella, Timothy Solie",anonymous,"2022-03-03",English,0,21,21,93.00,"5",5,"1"
"Making a Jack-o'-Lantern, Step by Step",J. Angelique Johnson,anonymous,"2022-03-15",English,0,5,5,93.00,,5,"0"
Overboard,"Steve Brezenoff, Scott Murphy",anonymous,"2022-03-16",English,1,0,60,199.00,,5,"0"
